	Clone size	RGC	dAC	AC	BC	MC	HC	PRs	Unknown	Position
48h clone-34	2	0	0	0	0	0	0	2	0	Nasal
48h clone-35	2	0	0	0	0	0	0	2	0	Nasal
48h clone-36	2	0	0	2	0	0	0	0	0	Nasal
48h clone-37	2	0	0	0	2	0	0	0	0	Nasal
48h clone-38	2	0	0	0	0	0	0	2	0	Nasal
48h clone-39	2	0	0	1	0	0	0	0	1	Nasal
48h clone-40	2	0	0	1	0	0	0	1	0	Nasal
48h clone-41	2	0	0	0	0	0	0	2	0	Nasal
48h clone-42	2	0	0	1	1	0	0	0	0	Nasal
48h clone-43	2	0	0	0	0	0	0	2	0	Nasal
48h clone-44	2	0	0	0	0	0	0	2	0	Nasal
48h clone-45	2	0	0	0	0	0	0	2	0	Nasal
48h clone-46	2	0	0	0	0	0	0	2	0	Nasal
48h clone-47	2	1	0	0	0	0	1	0	0	Nasal
48h clone-48	4	1	1	0	2	0	0	0	0	Nasal
48h clone-49	1	1	0	0	0	0	0	0	0	Temporal
48h clone-50	1	0	0	1	0	0	0	0	0	Temporal
48h clone-51	1	0	0	0	1	0	0	0	0	Temporal
48h clone-52	1	0	0	0	1	0	0	0	0	Temporal
48h clone-53	1	0	0	0	0	0	0	1	0	Temporal
48h clone-54	1	1	0	0	0	0	0	0	0	Temporal
48h clone-55	1	0	0	0	1	0	0	0	0	Temporal
48h clone-56	1	1	0	0	0	0	0	0	0	Temporal
48h clone-57	1	1	0	0	0	0	0	0	0	Temporal
48h clone-58	1	0	0	0	1	0	0	0	0	Temporal
48h clone-59	1	0	0	1	0	0	0	0	0	Temporal
48h clone-60	1	0	1	0	0	0	0	0	0	Temporal
48h clone-61	1	0	1	0	0	0	0	0	0	Temporal
48h clone-62	1	0	0	1	0	0	0	0	0	Temporal
48h clone-63	1	0	0	0	0	1	0	0	0	Temporal
48h clone-64	1	0	0	0	0	0	0	1	0	Temporal
48h clone-65	1	0	0	0	1	0	0	0	0	Temporal
48h clone-66	1	0	0	0	0	0	0	1	0	Temporal
48h clone-67	1	0	0	1	0	0	0	0	0	Temporal
48h clone-68	1	0	0	0	0	1	0	0	0	Temporal
48h clone-69	1	0	0	0	0	1	0	0	0	Temporal
48h clone-70	1	0	1	0	0	0	0	0	0	Temporal
48h clone-71	1	0	0	0	1	0	0	0	0	Temporal
48h clone-72	1	0	0	1	0	0	0	0	0	Temporal
48h clone-73	1	1	0	0	0	0	0	0	0	Temporal
48h clone-74	1	0	0	0	1	0	0	0	0	Temporal
48h clone-75	1	0	0	0	0	0	0	1	0	Temporal
48h clone-76	1	0	0	1	0	0	0	0	0	Temporal
48h clone-77	1	0	0	0	0	0	1	0	0	Temporal
48h clone-78	1	0	0	0	0	0	1	0	0	Temporal
48h clone-79	1	0	0	1	0	0	0	0	0	Temporal
48h clone-80	1	0	0	1	0	0	0	0	0	Temporal
48h clone-81	1	0	0	0	1	0	0	0	0	Temporal
48h clone-82	1	0	1	0	0	0	0	0	0	Temporal
48h clone-83	1	0	0	1	0	0	0	0	0	Temporal
48h clone-84	1	0	0	1	0	0	0	0	0	Temporal
48h clone-85	1	0	0	1	0	0	0	0	0	Temporal
48h clone-86	2	0	0	0	0	0	0	2	0	Temporal
48h clone-87	2	0	0	0	0	0	0	2	0	Temporal
48h clone-88	2	0	0	0	0	0	0	2	0	Temporal
48h clone-89	2	0	0	0	0	0	0	2	0	Temporal
48h clone-90	2	0	0	0	2	0	0	0	0	Temporal
48h clone-91	2	0	0	0	2	0	0	0	0	Temporal
48h clone-92	2	0	0	0	2	0	0	0	0	Temporal
48h clone-93	2	0	0	0	0	0	0	2	0	Temporal
48h clone-94	2	0	0	0	0	0	0	2	0	Temporal
48h clone-95	2	0	0	0	0	0	0	2	0	Temporal
48h clone-96	2	0	0	0	0	0	0	2	0	Temporal
48h clone-97	2	0	0	0	0	0	0	2	0	Temporal
48h clone-98	2	0	0	0	2	0	0	0	0	Temporal
48h clone-99	2	0	0	0	1	0	0	1	0	Temporal
48h clone-100	2	0	0	0	0	0	0	2	0	Temporal
48h clone-101	2	0	0	1	1	0	0	0	0	Temporal
48h clone-102	2	0	0	1	1	0	0	0	0	Temporal
48h clone-103	2	0	0	0	0	0	0	2	0	Temporal
48h clone-104	2	0	0	2	0	0	0	0	0	Temporal
48h clone-105	2	0	1	1	0	0	0	0	0	Temporal
48h clone-106	2	0	0	0	0	0	0	2	0	Temporal
48h clone-107	2	0	0	1	1	0	0	0	0	Temporal
48h clone-108	2	0	0	2	0	0	0	0	0	Temporal
48h clone-109	2	0	0	0	2	0	0	0	0	Temporal
48h clone-110	2	0	1	1	0	0	0	0	0	Temporal
48h clone-111	2	0	1	1	0	0	0	0	0	Temporal
48h clone-112	2	0	0	0	0	0	0	2	0	Temporal
48h clone-113	2	0	0	0	0	0	0	2	0	Temporal
48h clone-114	2	0	0	0	0	0	0	2	0	Temporal
48h clone-115	2	0	0	0	2	0	0	0	0	Temporal
48h clone-116	2	0	0	0	0	0	0	2	0	Temporal
48h clone-117	2	0	0	0	2	0	0	0	0	Temporal
48h clone-118	2	0	0	0	0	0	0	2	0	Temporal
48h clone-119	2	0	0	0	0	0	0	2	0	Temporal
48h clone-120	2	0	0	0	0	0	0	2	0	Temporal
48h clone-121	2	0	0	2	0	0	0	0	0	Temporal
48h clone-122	2	0	0	0	0	0	0	2	0	Temporal
48h clone-123	2	0	0	0	2	0	0	0	0	Temporal
48h clone-124	2	0	1	1	0	0	0	0	0	Temporal
48h clone-125	2	0	0	1	0	0	0	1	0	Temporal
48h clone-126	2	0	0	0	2	0	0	0	0	Temporal
48h clone-127	2	0	0	0	2	0	0	0	0	Temporal
48h clone-128	2	0	0	0	0	2	0	0	0	Temporal
48h clone-129	2	0	0	0	2	0	0	0	0	Temporal
48h clone-130	2	0	0	0	2	0	0	0	0	Temporal
48h clone-131	2	0	0	2	0	0	0	0	0	Temporal
48h clone-132	2	0	0	0	0	0	0	2	0	Temporal
48h clone-133	2	0	1	0	1	0	0	0	0	Temporal
48h clone-134	2	0	2	0	0	0	0	0	0	Temporal
48h clone-135	2	0	0	0	0	0	2	0	0	Temporal
48h clone-136	2	0	0	0	0	0	0	2	0	Temporal
48h clone-137	2	0	0	2	0	0	0	0	0	Temporal
48h clone-138	2	0	0	0	0	0	0	2	0	Temporal
48h clone-139	2	0	0	0	2	0	0	0	0	Temporal
48h clone-140	2	0	0	0	0	0	2	0	0	Temporal
48h clone-141	2	0	0	0	0	0	0	2	0	Temporal
48h clone-142	2	0	0	0	2	0	0	0	0	Temporal
48h clone-143	2	0	0	0	0	0	0	2	0	Temporal
48h clone-144	2	0	0	2	0	0	0	0	0	Temporal
48h clone-145	2	0	0	0	0	0	0	2	0	Temporal
48h clone-146	2	0	0	2	0	0	0	0	0	Temporal
48h clone-147	3	0	0	3	0	0	0	0	0	Temporal
48h clone-148	3	1	1	1	0	0	0	0	0	Temporal
48h clone-149	4	0	0	1	2	0	0	1	0	Temporal
48h clone-150	4	0	0	0	4	0	0	0	0	Temporal
48h clone-151	4	0	0	0	4	0	0	0	0	Temporal
48h clone-152	4	0	0	0	0	0	0	4	0	Temporal
48h clone-153	4	0	0	0	2	1	0	1	0	Temporal
48h clone-154	4	0	0	0	0	0	0	4	0	Temporal
48h clone-155	4	0	0	2	2	0	0	0	0	Temporal
48h clone-156	4	0	0	1	3	0	0	0	0	Temporal
48h clone-157	4	0	0	0	4	0	0	0	0	Temporal
48h clone-158	4	0	0	0	2	0	0	2	0	Temporal
48h clone-159	4	0	0	0	2	0	0	2	0	Temporal
48h clone-160	5	0	0	0	5	0	0	0	0	Temporal
48h clone-161	6	2	0	0	0	0	0	4	0	Temporal
48h clone-162	6	0	1	2	1	0	0	2	0	Temporal
48h clone-163	8	0	0	0	2	0	0	6	0	Temporal
